seal,d_date,lat,lon,trip_id,trip_number,sst,salinity,current_u,current_v,depth,nearby_seal_count,nearest_seal_distance_km,mean_nearby_distance_km,same_sex_nearby_count,opposite_sex_nearby_count,nearby_male_count,nearby_female_count,social_density_score,sex_code,body_mass,total_length
B18,2010-07-01 14:05:16+00:00,48.39456,-4.89586,2010-13_B18_T0001,1,15.2055,34.8811,0.0397,-0.0501,4.0,7,3.4924,6.2489,0,7,7,0,1.3839,0.0,137,182
B18,2010-07-01 14:45:00+00:00,48.38706,-4.89463,2010-13_B18_T0001,1,15.2055,34.8811,0.0397,-0.0501,1.0,5,2.9035,2.9946,0,5,5,0,1.6725,0.0,137,182
B18,2010-07-01 15:45:48+00:00,48.38705,-4.89172,2010-13_B18_T0001,1,15.2055,34.8811,0.0397,-0.0501,1.0,2,2.7284,2.7301,0,2,2,0,0.7326,0.0,137,182
B18,2010-07-01 15:59:32+00:00,48.38703,-4.89316,2010-13_B18_T0001,1,15.2055,34.8811,0.0397,-0.0501,1.0,2,2.8146,2.8165,0,2,2,0,0.7101,0.0,137,182
B18,2010-07-01 16:12:04+00:00,48.38744,-4.89164,2010-13_B18_T0001,1,15.2055,34.8811,0.0397,-0.0501,2.0,2,2.7249,2.7385,0,2,2,0,0.7303,0.0,137,182
B18,2010-07-01 16:26:52+00:00,48.38712,-4.89143,2010-13_B18_T0001,1,15.2055,34.8811,0.0397,-0.0501,2.0,2,2.6917,2.7052,0,2,2,0,0.7393,0.0,137,182
B18,2010-07-01 16:40:56+00:00,48.38717,-4.89173,2010-13_B18_T0001,1,15.2055,34.8811,0.0397,-0.0501,1.0,2,2.7043,2.7087,0,2,2,0,0.7384,0.0,137,182
B18,2010-07-01 16:50:56+00:00,48.38662,-4.8917,2010-13_B18_T0001,1,15.2055,34.8811,0.0397,-0.0501,1.0,2,2.6682,2.6725,0,2,2,0,0.7484,0.0,137,182
B18,2010-07-01 17:08:40+00:00,48.38633,-4.89109,2010-13_B18_T0001,1,15.2055,34.8811,0.0397,-0.0501,2.0,3,2.5957,2.61,0,3,3,0,1.1495,0.0,137,182
B18,2010-07-01 17:22:16+00:00,48.38707,-4.89121,2010-13_B18_T0001,1,15.2055,34.8811,0.0397,-0.0501,2.0,3,2.6498,2.6638,0,3,3,0,1.1262,0.0,137,182
